SN,Lat1,Long1,Lat2,Long2,
1,27.17123,78.03123,27.263546,78.198933,
2,27.9024,78.0968,27.35634,78.188605,
3,26.43,82.57,27.2901965,78.0555532,
4,26.55,79.55,27.3081223,78.0266738, 
5,26.54,81.83,27.037533,77.9711083,
6,28.01,79.11,26.938469,77.936817,
7,27.5833,81.58,27.0236117,77.9656618,
8,25.92,84.13,26.962348,78.010084,
9,25.8711,84.1281,26.966022,78.041299,
10,27.55,82.64,27.0948017,77.9093018,
11,28.3417,79.4175,27.1035067,77.8178384,
12,26.79,82.72,27.1508951,78.0078563,
13,28.39,77.83,27.0139756,78.1209941,
14,25.17,80.91,27.084017,78.163796,
15,26.48,83.77,27.030222,78.296218,
16,27.55,78.65,26.9752,78.230455,
17,26.7883,78.9994,27.050134,78.335045,
18,25.93,80.8,27.094141,77.668981,
19,28.6217,77.3533,27.085245,77.6627834,
20,28.6403,77.375,27.1761642,77.7538196,
21,26.1269,81.94,26.8865295,78.3777509,
22,26.77,83.43,26.8137483,78.5447451,
23,27.58,77.98,26.8286467,78.7025084,
24,25.72,82.68,26.8314683,78.7112951,
25,25.5339,78.5749,26.8910111,78.5027221,
26,25.43,78.57,27.1194267,78.0216718,
27,27.03,79.92,26.9549817,77.8199551,
28,26.3439,79.9675,26.9309791,77.6791742,
29,26.4167,80.3667,26.840759,77.4858675,
30,25.3333,81.2833,26.9534717,77.7399718,
31,26.8333,83.9333,27.071492,77.885872,
32,28.4,80.5833,27.1346123,78.0887083,
33,24.68,78.4,26.878712,78.291685,
34,26.9608,81.0044,27.2141643,78.1976855,
35,26.8667,80.9167,27.219998,77.65469,
36,26.7735,80.8832,27.173469,77.88073,
37,27.14,83.53,27.168442,77.906391,
38,25.17,79.51,27.2899687,78.0686525,
39,27.22,79.03,27.109782,78.1230687,
40,27.5,77.6667,27.1310317,77.6089434,
41,25.92,83.56,26.9437098,77.8268427,
42,29.02,77.75,27.0288646,78.3171175,
43,25.17,82.5833,27.232271,78.197587,
44,28.65,79.8,27.1698983,77.7825201,
45,25.5,82,27.2053087,77.9040275,
46,25.3963,81.8948,26.8692106,78.5875125,
47,25.4296,81.9104,27.1806834,77.9907869,
48,25.41,81.8333,27.2750133,78.1899768,
49,25.4593,81.8499,28.042835,77.578935,
50,26.2503,81.3769,28.0231458,77.7088771,
51,28.82,79.03,28.011417,77.746845,
52,26.78,83.1,27.836877,77.879648,
53,25.21,82.27,27.735293,77.858248,
54,27.7056,81.9072,27.6166146,77.8977833,
55,27.27,83.07,27.7014296,77.9347374,
56,26.25,82,28.073241,78.015079,
57,26.57,80.48,28.0820536,77.8506852,
58,25.2694,82.9905,28.131958,77.849413,
59,,,27.940799,78.476263,
60,,,27.924911,78.391527,
61,,,27.9701717,78.2891401,
62,,,28.075837,78.30236,
63,,,27.909098,78.413571,
64,,,27.840145,78.401266,
65,,,27.844064,78.395895,
66,,,27.719364,78.2231981,
67,,,27.853486,78.027426,
68,,,27.8689778,78.0366062,
69,,,27.9787569,78.3975239,
70,,,27.935205,78.159828,
71,,,27.865359,77.826991,
72,,,28.02807,78.211908,
73,,,28.0429697,78.2783158,
74,,,28.033404,78.116252,
75,,,27.701997,77.944675,
76,,,28.0542575,77.9516414,
77,,,27.776795,77.855273,
78,,,27.934457,77.863674,
79,,,27.8613503,78.2536193,
80,,,26.2988612,82.7112478,
81,,,26.3730817,82.7397984,
82,,,26.455357,82.766143,
83,,,26.4580983,82.7235468,
84,,,26.3339,83.046258,
85,,,26.400913,83.023991,
86,,,26.3878539,82.8243283,
87,,,26.5382768,82.6378843,
88,,,26.4468912,82.6022586,
89,,,26.4882592,82.4467574,
90,,,26.4899897,82.4965455,
91,,,26.3585274,82.4972335,
92,,,26.2546029,82.780441,
93,,,26.2376685,82.8253356,
94,,,26.4463987,82.901336,
95,,,26.4653902,82.3182965,
96,,,26.450323,82.320365,
97,,,26.605987,82.468245,
98,,,26.4460189,82.5574635,
99,,,26.2815105,82.6848645,
100,,,26.5645908,82.6315129,
101,,,26.4463916,82.90709,
102,,,26.3523128,83.0201645,
103,,,26.3101839,82.4871586,
104,,,26.4103616,82.357414,
105,,,26.3407066,81.4559927,
106,,,26.392645,81.4683334,
107,,,26.269931,81.522098,
108,,,26.2586336,81.3839198,
109,,,26.460014,81.6134808,
110,,,26.4554417,81.6260184,
111,,,26.5907741,81.5768886,
112,,,26.6071133,81.5734984,
113,,,26.386148,81.777037,
114,,,26.351899,81.801801,
115,,,26.1117222,81.7393658,
116,,,26.208466,81.73312,
117,,,26.3669452,81.6650584,
118,,,26.336752,81.659793,
119,,,26.195675,81.688932,
120,,,26.290868,81.79058,
121,,,26.2547233,81.7731368,
122,,,26.2107186,81.8725017,
123,,,26.193072,81.970961,
124,,,26.1163837,81.9454913,
125,,,26.082263,81.945687,
126,,,26.12991,81.853315,
127,,,26.0776225,81.8354324,
128,,,26.4853567,81.4432284,
129,,,26.479148,81.4732304,
130,,,26.21212,81.6767342,
131,,,26.1571563,81.8052596,
132,,,26.3760508,81.7954231,
133,,,26.3668752,81.473954,
134,,,28.903142,78.484928,
135,,,28.8361347,78.4711052,
136,,,28.9925137,78.3244247,
137,,,28.903142,78.484928,
138,,,28.530962,78.312579,
139,,,28.69976,78.381664,
140,,,28.965441,78.178891,
141,,,28.7918426,78.4481718,
142,,,28.7919567,78.4479909,
143,,,28.7389616,78.2467284,
144,,,29.0134452,78.2827975,
145,,,28.8711342,78.4659413,
146,,,28.7418909,78.2969036,
147,,,28.9856417,78.4137434,
148,,,26.699769,79.403172,
149,,,26.634227,79.383346,
150,,,26.576053,79.375991,
151,,,26.616091,79.363297,
152,,,26.5060503,79.4769068,
153,,,26.560803,79.427147,
154,,,26.5742909,79.4385763,
155,,,26.6108669,79.4936557,
156,,,26.758939,79.648935,
157,,,26.755113,79.537387,
158,,,26.8881967,79.4263124,
159,,,26.761395,79.600898,
